age,school,office,"shopping
10-60minutes",leisure,park,"hospital
4 hours at A&E departments"
0,0,0,,,0,240
1,0,0,,,120,240
2,0,0,,,120,240
3,0,0,,,120,240
4,1950,0,90,2520,120,240
5,1950,0,90,2520,120,240
6,1950,0,90,2520,120,240
7,1950,0,90,2520,120,240
8,1950,0,90,2520,120,240
9,1950,0,90,2520,120,240
10,1950,0,90,2520,120,240
11,1950,0,90,2520,120,240
12,1950,0,90,2520,120,240
13,1950,0,90,2520,120,240
14,1950,0,90,2520,120,240
15,1950,0,90,2520,120,240
16,1950,1758,90,900,74,240
17,1950,1758,90,900,74,240
18,2700,1758,90,900,74,240
19,2700,1758,90,900,74,240
20,2700,1758,90,900,74,240
21,0,1758,90,900,74,240
22,0,1758,90,900,74,240
23,0,1758,90,900,74,240
24,0,1758,90,900,74,240
25,0,2058,90,900,74,240
26,0,2058,90,900,74,240
27,0,2058,90,900,74,240
28,0,2058,90,900,74,240
29,0,2058,90,900,74,240
30,0,2058,90,900,74,240
31,0,2058,90,900,74,240
32,0,2058,90,900,74,240
33,0,2058,90,900,74,240
34,0,2058,90,900,74,240
35,0,2058,90,900,74,240
36,0,2058,90,900,74,240
37,0,2058,90,900,74,240
38,0,2058,90,900,74,240
39,0,2058,90,900,74,240
40,0,2058,90,900,74,240
41,0,2058,90,900,74,240
42,0,2058,90,900,74,240
43,0,2058,90,900,74,240
44,0,2058,90,900,74,240
45,0,2058,90,900,74,240
46,0,2058,90,900,74,240
47,0,2058,90,900,74,240
48,0,2058,90,900,74,240
49,0,2058,90,900,74,240
50,0,2058,90,900,74,240
51,0,2058,90,900,74,240
52,0,2058,90,900,74,240
53,0,2058,90,900,74,240
54,0,2058,90,900,74,240
55,0,1842,90,900,74,240
56,0,1842,90,900,74,240
57,0,1842,90,900,74,240
58,0,1842,90,900,74,240
59,0,1842,90,900,74,240
60,0,1842,90,900,74,240
61,0,1842,90,900,74,240
62,0,1842,90,900,74,240
63,0,1842,90,900,74,240
64,0,1842,90,900,74,240
65,0,1278,90,3000,,240
66,0,1278,90,3000,,240
67,0,1278,90,3000,,240
68,0,1278,90,3000,,240
69,0,1278,90,3000,,240
70,0,1278,90,3000,,240
71,0,1278,90,3000,,240
72,0,1278,90,3000,,240
73,0,1278,90,3000,,240
74,0,1278,90,3000,,240
75,0,1278,90,3000,,240
76,0,0,,,,
77,0,0,,,,
78,0,0,,,,
79,0,0,,,,
80,0,0,,,,
81,0,0,,,,
82,0,0,,,,
83,0,0,,,,
84,0,0,,,,
85,0,0,,,,
86,0,0,,,,
87,0,0,,,,
88,0,0,,,,
89,0,0,,,,
90,0,0,,,,
91,0,0,,,,
92,0,0,,,,
93,0,0,,,,
94,0,0,,,,
95,0,0,,,,
96,0,0,,,,
97,0,0,,,,
98,0,0,,,,
99,0,0,,,,
100,0,0,,,,
